rank_date,rank_position,bvid,aid,title,author,category,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-05,51,BV1f3VU6KEqy,116684832644044,"从""健身芭比""到""女企业家""，帕梅拉有多会""赚""？",小Lin说,财经商业,1745,1641252,1541,1320,46297,7979,14000,2712,1780479000,https://www.bilibili.com/video/BV1f3VU6KEqy,http://i0.hdslb.com/bfs/archive/ad9df863f29ccc8f07472fc5234c04740f6ee4b3.jpg
2026-06-05,52,BV1LVVv6tEPa,116677970756336,【鹿野/小动画】wonderland [儿童节24h产物],民用核武器,同人·手书,37,460616,85,565,146271,12787,23791,1922,1780395093,https://www.bilibili.com/video/BV1LVVv6tEPa,http://i1.hdslb.com/bfs/archive/2ef288272c38b705f82c7e23150d7ae538b17ce8.jpg
2026-06-05,53,BV1aFVm6REvY,116685537281059,蜘蛛糸モノポリー,苏酥鱼鱼喵,MMD·3D,113,466144,120,930,89602,3389,32551,2656,1780480166,https://www.bilibili.com/video/BV1aFVm6REvY,http://i0.hdslb.com/bfs/archive/43aeddbc4a47c5117090dc56e61b94bb7a858ec0.jpg
2026-06-05,54,BV1LCV66VE45,116680873346829,剥蒜的情谊147.0,NinthA-,网络游戏,147,1125075,618,634,87214,1085,12496,1187,1780455600,https://www.bilibili.com/video/BV1LCV66VE45,http://i1.hdslb.com/bfs/archive/21d74a2ecc26d0c95ecd1e1af6e84bf567bf37c9.jpg
2026-06-05,55,BV1yiEF6WErx,116690419585062,奶香馒头,夏叔厨房,美食制作,76,975856,499,4278,131091,4124,9774,674,1780554601,https://www.bilibili.com/video/BV1yiEF6WErx,http://i1.hdslb.com/bfs/archive/82992eb9cddf1a5a5e5e77e481db8626c6005de9.jpg
2026-06-05,56,BV1CYVy6vETT,116682852929454,【IGN】《战神：劳菲（God of War Laufey）》深度玩法演示 |  State of Play,IGN中国,单机游戏,1425,1574379,12695,14908,34647,10543,10350,42252,1780440137,https://www.bilibili.com/video/BV1CYVy6vETT,http://i1.hdslb.com/bfs/archive/a78c73d63af672d1dcaa84b7a8dabdb7c59cd0ab.jpg
2026-06-05,57,BV1jLVU6eEXE,116684782377667,可不可以买三十块烧腊？,食深烧腊,美食测评,99,860162,595,1819,94963,55602,4136,450,1780468779,https://www.bilibili.com/video/BV1jLVU6eEXE,http://i1.hdslb.com/bfs/archive/62b6a42513640bcbd689b2a89fb9b999a1205332.jpg
2026-06-05,58,BV1NoVm62EFd,116684715197497,金库测金，海峡测雷，万税爷进军测评赛道？,麻薯波比呀,社科·法律·心理,1010,1100256,2255,2422,66843,6949,7112,745,1780479745,https://www.bilibili.com/video/BV1NoVm62EFd,http://i2.hdslb.com/bfs/archive/d200d3f215d8a9d6eb13923af38007a3d0ff34b4.jpg
2026-06-05,59,BV11BVU6mEUe,116669431157836,做了一把千机伞，能变十三个形态的那种｜最强的武器一定是自制的,o小庄o,仿妆cos,172,3236073,1408,3876,158317,56790,48080,12239,1780234512,https://www.bilibili.com/video/BV11BVU6mEUe,http://i0.hdslb.com/bfs/archive/b0de098d43f32c720b593ef44a69ca1be9cccb90.jpg
2026-06-05,60,BV16NVZ6wEZw,116674430768725,“少女暴君”翻《荣耀向我俯首》法语完整版！,芋泥脑袋邹十八,翻唱,159,1170735,249,934,105813,13190,34823,2369,1780310639,https://www.bilibili.com/video/BV16NVZ6wEZw,http://i2.hdslb.com/bfs/archive/60aebd868808697e36d33ea7c801ce8f7fafcec3.jpg
2026-06-05,61,BV1ypV66dEru,116681359754958,G胖为上架R18游戏硬刚V社法务 玩家至上 不做干预,Will游戏堂,数码,51,1073330,651,3161,123042,2057,15994,9382,1780444800,https://www.bilibili.com/video/BV1ypV66dEru,http://i1.hdslb.com/bfs/archive/e3e911d6f451bd85e0fb10b15ba13e2f9b6b96cc.jpg
2026-06-05,62,BV1dFV66rEwZ,116679463929983,"""这一刻，他简直正的发邪""",wrizedm,影视剪辑,115,1225944,264,602,91529,4036,16531,1340,1780387590,https://www.bilibili.com/video/BV1dFV66rEwZ,http://i1.hdslb.com/bfs/archive/0d76efe5941248b388135046493c78dbb702e210.jpg
2026-06-05,63,BV1uE7d6JEAp,116688674624635,啥龙：医生说我只剩几天了……,小陈的脚凑凑的,日常,181,795987,707,1279,56638,4771,13402,2790,1780528049,https://www.bilibili.com/video/BV1uE7d6JEAp,http://i1.hdslb.com/bfs/archive/e92886e4f49270b6f1a24481e0b0851d64e70fc4.jpg
2026-06-05,64,BV1s7Vm6VEUw,116685352737659,《鸣潮》开发组特别对谈——鸣潮演出&PV制作揭秘,鸣潮,动漫杂谈,1452,541653,7611,7858,45717,24883,8111,5122,1780480800,https://www.bilibili.com/video/BV1s7Vm6VEUw,http://i0.hdslb.com/bfs/archive/afd215be2fdf7777d4d6b82dd63b5b3d31f2b871.jpg
2026-06-05,65,BV1aUVB6cE4P,116680185353959,说个事儿,麦片是只小金毛,社科·法律·心理,411,486709,3022,3794,61704,22918,7940,5671,1780398768,https://www.bilibili.com/video/BV1aUVB6cE4P,http://i1.hdslb.com/bfs/archive/6d8fa2c40f1dd5d4be4980602da4f1c6fd72ca5b.jpg
2026-06-05,66,BV17pVC6WECy,116681544304592,带良子和花胖在华哥训练营偷吃，闷子、板面、大肠都安排上,俞涛不光会做九转大肠,美食记录,247,1412865,873,2274,67488,1613,3955,2486,1780455600,https://www.bilibili.com/video/BV17pVC6WECy,http://i1.hdslb.com/bfs/archive/ecf1293c7f3c2f89f52a51e5ad0ce5201f1be340.jpg
2026-06-05,67,BV1REV56YEjz,116663122926337,50秒一片肉，火力全开，快到起飞,左手刀鹏哥,日常,59,6599604,1528,7806,266483,6535,13054,5624,1780138201,https://www.bilibili.com/video/BV1REV56YEjz,http://i1.hdslb.com/bfs/archive/4d7ccd61eaa71d221ff926561ee7efac7b5c1b1f.jpg
2026-06-05,68,BV15tVr6GE6V,116680319571440,《马老师啊》,嘞是唐孃孃,搞笑,85,1381516,389,1576,127340,1122,5079,1771,1780400685,https://www.bilibili.com/video/BV15tVr6GE6V,http://i2.hdslb.com/bfs/archive/0b7663a0e374c8d521bbf783e3cfd44d3fb635d6.jpg
2026-06-05,69,BV1TL796CE52,116685721830606,歌剧老师锐评韩娱BLACKPINK  JYP & MAMAOO Red Velvet TWICE,铁豆钢蛋,乐评盘点,3086,766361,20550,9950,40904,17936,6867,2360,1780483444,https://www.bilibili.com/video/BV1TL796CE52,http://i1.hdslb.com/bfs/archive/ab6356296c8f9523a858fc15dd4a808fbc51b773.jpg
2026-06-05,70,BV12SVo6GE6E,116674799864807,杀人热浪如何卡死印度发展命脉？,世界见闻录,人文历史,884,1154283,5196,4526,53848,4623,6498,965,1780394700,https://www.bilibili.com/video/BV12SVo6GE6E,http://i0.hdslb.com/bfs/archive/bca8168108de85cd8db3fc2b5647ee07388ed6bc.jpg
2026-06-05,71,BV1gWVd6GEna,116673323603460,期末到了，你们寝室准备好应对之策了吗,灵霖七,日常,200,1737248,1207,1950,80710,13491,13326,6066,1780293767,https://www.bilibili.com/video/BV1gWVd6GEna,http://i0.hdslb.com/bfs/archive/d0a8e406e4231a2cad0caefda83bab3276dc8059.jpg
2026-06-05,72,BV14FVE6AEze,116667149517318,不止抽象！内娱唯一的硬汉！盘点嘎子谢孟伟职业生涯高光演技,文西与阿漆,影视杂谈,1050,2378838,15959,6429,163251,34660,15097,4279,1780304700,https://www.bilibili.com/video/BV14FVE6AEze,http://i0.hdslb.com/bfs/archive/2105e724eb0f4af98e4443b568807fe1d19d5160.jpg
2026-06-05,73,BV1bwV161Er2,116684413209270,【aespa】LEMONNNN,aespa,音乐综合,11,4008965,5031,11655,69497,14871,7256,3013,1780475400,https://www.bilibili.com/video/BV1bwV161Er2,http://i1.hdslb.com/bfs/archive/1e63fbee388c793dc0403c872eefb52a8d7d8615.jpg
2026-06-05,74,BV1Nk7X6TEnq,116686023955827,半个小孩，全部的妈妈,超级猫猫兽,同人·手书,483,484372,1274,3892,65811,11204,16970,3135,1780487705,https://www.bilibili.com/video/BV1Nk7X6TEnq,http://i0.hdslb.com/bfs/archive/25cb3d6f6dd951590c71a8ea993463455554b0c6.jpg
2026-06-05,75,BV1rMVz67EMs,116679967312875,开关灯木头人挑战！,酱油白米饭原创,小剧场,99,1976437,347,548,81254,1436,18389,2483,1780395433,https://www.bilibili.com/video/BV1rMVz67EMs,http://i0.hdslb.com/bfs/archive/b909eaaf95648e5156635c9c1afd57ac6da69f64.jpg
2026-06-05,76,BV16iV96sEtP,116672686000149,APP窗口乱跳转的“传送门”该关上了！,人民日报,日常,41,2492850,13364,15684,341077,29042,14132,13775,1780283954,https://www.bilibili.com/video/BV16iV96sEtP,http://i1.hdslb.com/bfs/archive/cdd5978f6eebaf8db0e8c97dbf9c2cdedabd92b9.jpg
2026-06-05,77,BV1wEEc6REms,116692097238799,城市大富翁（5）,雨哥到处跑,日常,3847,319341,14197,2877,47676,38793,13858,2270,1780628700,https://www.bilibili.com/video/BV1wEEc6REms,http://i1.hdslb.com/bfs/archive/8628e50dc2e56aec5815c8e3f665d304cfe23d80.jpg
2026-06-05,78,BV1Qt7X61Enn,116686241993999,百万英镑，但素质过低,青时晚,影视剪辑,174,774279,894,966,50820,3298,12126,4989,1780490956,https://www.bilibili.com/video/BV1Qt7X61Enn,http://i0.hdslb.com/bfs/archive/1573985b4950f4d1001b3a21a50adab722b0a0f1.jpg
2026-06-05,79,BV1ps796qErr,116685822560107,谁在等谁的出现,为了我活下去,综合,36,424675,225,1315,126522,6361,19158,1548,1780484521,https://www.bilibili.com/video/BV1ps796qErr,http://i1.hdslb.com/bfs/archive/49a476c711b1d61ec7ffa37684a398ddb857435a.jpg
2026-06-05,80,BV1NCVz6WESh,116679312937393,除了它以外，你见过的紫色都是假的…？,毕的二阶导,科学科普,206,1489935,1353,1537,67857,3255,13803,1008,1780390800,https://www.bilibili.com/video/BV1NCVz6WESh,http://i0.hdslb.com/bfs/archive/ea889a90891a5cbf88d298eb0ce3f69285accd7b.jpg
2026-06-05,81,BV1JKEw6QEw9,116691509970719,我读了你们的评论 把阎王召唤出来了T_T,汤木檀泽,日常,959,936790,1050,1193,63154,3649,4126,324,1780571268,https://www.bilibili.com/video/BV1JKEw6QEw9,http://i1.hdslb.com/bfs/archive/0b6c7ccb214b6211a4cf9a8741eb473536e42587.jpg
2026-06-05,82,BV1dCV66GEgM,116680873280095,《明日方舟：终末地》干员叙事 [弭弗：煞星],明日方舟终末地,手机游戏,637,1026188,3729,8018,42480,10035,6208,4914,1780457400,https://www.bilibili.com/video/BV1dCV66GEgM,http://i1.hdslb.com/bfs/archive/033ff148a9ed8d3736243342bbb59dbe14cbc0ee.jpg
