rank_date,rank_position,bvid,aid,title,author,category,main_category,tid,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-05,45,BV1G1VB6PEro,116680286144492,今天的员工够燥的~#异宠 #爬宠 #慢宠时钟 #萌宠,慢宠日记啊,日常,生活,21,79,3161849,488,3067,120456,1528,8272,5833,1780400126,https://www.bilibili.com/video/BV1G1VB6PEro,http://i0.hdslb.com/bfs/archive/816ee56ee784d2ccfe8c14d2289cfa7fa2839d73.jpg
2026-06-05,46,BV1nsVf6ME6Q,116675974335267,起初我一直以为“霸总”只是大家对王心凌站哥站姐的爱称…,王心凌FM,音乐现场,音乐,29,42,3139201,502,2878,194565,2094,6797,1701,1780334311,https://www.bilibili.com/video/BV1nsVf6ME6Q,http://i1.hdslb.com/bfs/archive/577514b0c4adb075d9561dda563e0b33c2cc9b1e.jpg
2026-06-05,47,BV1r6V26BE9i,116685486949496,《上海奥特曼4：沪特曼集结！》,册那队长,小剧场,娱乐,85,53,2513628,864,4908,116712,8843,15994,27639,1780479544,https://www.bilibili.com/video/BV1r6V26BE9i,http://i0.hdslb.com/bfs/archive/a062cb9d7991230d0d7287d7d8fd5bead9ec6788.jpg
2026-06-05,48,BV1WBVZ6zEZF,116674262997815,朋克的扑满完整版！六一变身巴啦啦小魔丸！,辉泰廊大王,音乐现场,音乐,29,87,990027,274,1855,116455,19993,26082,5449,1780309712,https://www.bilibili.com/video/BV1WBVZ6zEZF,http://i1.hdslb.com/bfs/archive/7b6177df7c5730719e6e85670d645595c6ff940e.jpg
2026-06-05,49,BV11DVo6rEo7,116674850196476,🐱穷鬼气球,竹内有虫,综合,综合,27,40,1028717,533,3731,129724,7817,38035,21475,1780317192,https://www.bilibili.com/video/BV11DVo6rEo7,http://i0.hdslb.com/bfs/archive/c914f8432580c402c9749aca8e6fa9efa26eedbb.jpg
2026-06-05,50,BV1YmV666EoR,116681091515032,坏了，这下特朗普都反犹了,波士顿圆脸,社科·法律·心理,知识,124,915,1327473,2888,2780,70945,5974,7179,2063,1780412433,https://www.bilibili.com/video/BV1YmV666EoR,http://i0.hdslb.com/bfs/archive/52eddb4b47addf6fcebb5bcb20458336c2d0d4ea.jpg
2026-06-05,51,BV1f3VU6KEqy,116684832644044,"从""健身芭比""到""女企业家""，帕梅拉有多会""赚""？",小Lin说,财经商业,知识,207,1745,1648612,1545,1322,46558,8017,14084,2724,1780479000,https://www.bilibili.com/video/BV1f3VU6KEqy,http://i0.hdslb.com/bfs/archive/ad9df863f29ccc8f07472fc5234c04740f6ee4b3.jpg
2026-06-05,52,BV1LVVv6tEPa,116677970756336,【鹿野/小动画】wonderland [儿童节24h产物],民用核武器,同人·手书,动画,47,37,462531,85,567,147129,12854,23965,1933,1780395093,https://www.bilibili.com/video/BV1LVVv6tEPa,http://i1.hdslb.com/bfs/archive/2ef288272c38b705f82c7e23150d7ae538b17ce8.jpg
2026-06-05,53,BV1aFVm6REvY,116685537281059,蜘蛛糸モノポリー,苏酥鱼鱼喵,MMD·3D,动画,25,113,474304,122,955,91264,3433,33162,2700,1780480166,https://www.bilibili.com/video/BV1aFVm6REvY,http://i0.hdslb.com/bfs/archive/43aeddbc4a47c5117090dc56e61b94bb7a858ec0.jpg
2026-06-05,54,BV1LCV66VE45,116680873346829,剥蒜的情谊147.0,NinthA-,网络游戏,游戏,65,147,1137506,622,640,88193,1099,12647,1196,1780455600,https://www.bilibili.com/video/BV1LCV66VE45,http://i1.hdslb.com/bfs/archive/21d74a2ecc26d0c95ecd1e1af6e84bf567bf37c9.jpg
2026-06-05,55,BV1yiEF6WErx,116690419585062,奶香馒头,夏叔厨房,美食制作,美食,76,76,991026,626,4388,133566,4211,10034,684,1780554601,https://www.bilibili.com/video/BV1yiEF6WErx,http://i1.hdslb.com/bfs/archive/82992eb9cddf1a5a5e5e77e481db8626c6005de9.jpg
2026-06-05,56,BV1CYVy6vETT,116682852929454,【IGN】《战神：劳菲（God of War Laufey）》深度玩法演示 |  State of Play,IGN中国,单机游戏,游戏,17,1425,1578323,12717,14937,34719,10562,10366,42300,1780440137,https://www.bilibili.com/video/BV1CYVy6vETT,http://i1.hdslb.com/bfs/archive/a78c73d63af672d1dcaa84b7a8dabdb7c59cd0ab.jpg
2026-06-05,57,BV1jLVU6eEXE,116684782377667,可不可以买三十块烧腊？,食深烧腊,美食测评,美食,213,99,862230,597,1823,95310,55734,4145,451,1780468779,https://www.bilibili.com/video/BV1jLVU6eEXE,http://i1.hdslb.com/bfs/archive/62b6a42513640bcbd689b2a89fb9b999a1205332.jpg
2026-06-05,58,BV1NoVm62EFd,116684715197497,金库测金，海峡测雷，万税爷进军测评赛道？,麻薯波比呀,社科·法律·心理,知识,124,1010,1103392,2261,2424,66995,6966,7120,746,1780479745,https://www.bilibili.com/video/BV1NoVm62EFd,http://i2.hdslb.com/bfs/archive/d200d3f215d8a9d6eb13923af38007a3d0ff34b4.jpg
2026-06-05,59,BV11BVU6mEUe,116669431157836,做了一把千机伞，能变十三个形态的那种｜最强的武器一定是自制的,o小庄o,仿妆cos,时尚,252,172,3246251,1409,3880,158829,56919,48339,12269,1780234512,https://www.bilibili.com/video/BV11BVU6mEUe,http://i0.hdslb.com/bfs/archive/b0de098d43f32c720b593ef44a69ca1be9cccb90.jpg
2026-06-05,60,BV16NVZ6wEZw,116674430768725,“少女暴君”翻《荣耀向我俯首》法语完整版！,芋泥脑袋邹十八,翻唱,音乐,31,159,1178957,250,943,106710,13230,35170,2387,1780310639,https://www.bilibili.com/video/BV16NVZ6wEZw,http://i2.hdslb.com/bfs/archive/60aebd868808697e36d33ea7c801ce8f7fafcec3.jpg
2026-06-05,61,BV1ypV66dEru,116681359754958,G胖为上架R18游戏硬刚V社法务 玩家至上 不做干预,Will游戏堂,数码,科技,95,51,1077997,651,3167,123836,2085,16151,9431,1780444800,https://www.bilibili.com/video/BV1ypV66dEru,http://i1.hdslb.com/bfs/archive/e3e911d6f451bd85e0fb10b15ba13e2f9b6b96cc.jpg
2026-06-05,62,BV1dFV66rEwZ,116679463929983,"""这一刻，他简直正的发邪""",wrizedm,影视剪辑,影视,183,115,1232084,265,604,91970,4067,16631,1348,1780387590,https://www.bilibili.com/video/BV1dFV66rEwZ,http://i1.hdslb.com/bfs/archive/0d76efe5941248b388135046493c78dbb702e210.jpg
2026-06-05,63,BV1uE7d6JEAp,116688674624635,啥龙：医生说我只剩几天了……,小陈的脚凑凑的,日常,生活,21,181,803289,735,1296,57123,4804,13530,2816,1780528049,https://www.bilibili.com/video/BV1uE7d6JEAp,http://i1.hdslb.com/bfs/archive/e92886e4f49270b6f1a24481e0b0851d64e70fc4.jpg
2026-06-05,64,BV1s7Vm6VEUw,116685352737659,《鸣潮》开发组特别对谈——鸣潮演出&PV制作揭秘,鸣潮,动漫杂谈,动画,253,1452,542759,7617,7863,45791,24926,8131,5127,1780480800,https://www.bilibili.com/video/BV1s7Vm6VEUw,http://i0.hdslb.com/bfs/archive/afd215be2fdf7777d4d6b82dd63b5b3d31f2b871.jpg
